ID	chrom	loc.start	loc.end	num.mark	seg.mean	seg.med	probes.Sd	estimCopy
T01117	1	888659	76105757	16375	0.0169	-0.00145	0.89989511469444	2
T01117	1	76106675	91158255	4273	-0.4878	-0.4272	1.02746487951164	2
T01117	1	91159586	115746581	6239	-0.7496	-0.705190770098214	0.968508756060916	1
T01117	1	115756007	151903634	2017	-0.3666	-0.4272	1.10227445881742	2
T01117	1	151909453	249198692	26849	0.5134	0.547598056033802	0.905203856715783	3
T01117	2	15703	242775910	61868	-0.0046	-0.00145	0.925610660606883	2
T01117	3	62614	197851260	51885	9e-04	-0.00145	0.901225086519074	2
T01117	4	68911	190921709	49201	0.011	-0.00145	0.908195233146465	2
T01117	5	113577	180692321	46159	-0.0168	-0.00145	0.920803910922259	2
T01117	6	184719	5307508	2122	-0.0326	-0.00145	0.891071817958011	2
T01117	6	5311263	10335955	2018	0.4686	0.46615	1.02225705823943	3
T01117	6	10352617	82847140	20673	-0.006	-0.00145	0.901793737289077	2
T01117	6	82847936	90627929	2134	-0.2158	-0.19615	0.944102565583531	2
T01117	6	90629110	170908114	24785	-0.006	-0.00145	0.896218604749538	2
T01117	7	44167	132217651	37646	-0.0178	-0.00145	0.896735679160887	2
T01117	7	132217786	139111169	2080	0.4637	0.46615	1.01726098067049	3
T01117	7	139111241	159119220	6273	0.0157	-0.00145	0.878135085722657	2
T01117	8	168484	146292734	38677	0	-0.00145	0.917173502942754	2
T01117	9	208549	141011581	30528	-0.0145	-0.00145	0.910124960064456	2
T01117	10	104427	135426536	35233	0.0175	-0.00145	0.901954831245516	2
T01117	11	230751	134938470	38224	0.0155	-0.00145	0.919913670423849	2
T01117	12	180185	23747165	6183	0.0236	-0.00145	0.89508240169351	2
T01117	12	23747621	30722222	2126	-0.1765	-0.19615	1.05824923153015	2
T01117	12	30730345	133777562	24754	-0.0179	-0.00145	0.931866424447285	2
T01117	13	19450806	81130204	17098	-1.5993	-1.5993	1.01734209599567	1
T01117	13	81134134	89275638	2039	-1.379	-1.5993	0.879641510599235	1
T01117	13	89279980	115095705	8543	-1.6155	-1.5993	0.994086566688658	1
T01117	14	20511673	107285437	26698	-0.0246	-0.00145	0.910536240336317	2
T01117	15	22809980	102429049	24826	-0.0127	-0.00145	0.909056874113878	2
T01117	16	89561	90146366	20654	0.031	-0.00145	0.902521487356872	2
T01117	17	18901	81041938	17262	0.0305	-0.00145	0.914994767035304	2
T01117	18	136305	78010194	20574	-0.0063	-0.00145	0.918282436724292	2
T01117	19	260912	58956888	10268	0.0332	-0.00145	0.917677642752774	2
T01117	20	61795	62912463	16018	0.0077	-0.00145	0.934148145244372	2
T01117	21	15129378	48084820	10341	-0.0029	-0.00145	0.931457089611898	2
T01117	22	16888900	51177928	8585	-1.5625	-1.5993	1.05862543400449	1
T01117	23	169805	155233098	22073	-1.7208	-1.5993	1.01749240524769	1
