ID	chrom	loc.start	loc.end	num.mark	seg.mean	seg.med	probes.Sd	estimCopy
N06680	1	564621	15377687	4071	0.9993	0.8603	0.825078146091006	4
N06680	1	15379185	21576796	2035	0.3906	0.02685	0.917783945463606	2
N06680	1	21579334	249198692	65118	0.0185	0.02685	0.771455898078852	2
N06680	2	15703	16764837	6824	0.9197	0.9446132091897	0.820432496367235	4
N06680	2	16765453	16795905	11	-1.077	-1.2004	1.65261259327481	1
N06680	2	16797214	18337244	584	0.8366	0.8603	0.995922804182342	4
N06680	2	18337669	27391259	2832	-1.3945	-1.5069	0.948854609078825	1
N06680	2	27391942	236430910	61516	0.0217	0.02685	0.766783626897548	2
N06680	2	236432130	243048760	2051	1.0254	1.0648	0.848800177826352	4
N06680	3	69244	3597134	2020	0.4484	0.02685	0.882707011812981	2
N06680	3	3603658	197856433	58559	0.0243	0.02685	0.768397460062849	2
N06680	4	45410	113079391	33132	0.0597	0.02685	0.763831244123516	2
N06680	4	113088713	120544349	2063	-0.941	-0.77365	1.02989917225988	1
N06680	4	120558608	190921709	20713	-1.4929	-1.5069	0.813599752718894	1
N06680	5	36344	83378766	25801	0.0293	0.02685	0.775026429228204	2
N06680	5	83381999	88111209	1004	-0.9402	-0.77365	1.10717672550765	1
N06680	5	88111344	180692833	29530	0.0154	0.02685	0.787426984655259	2
N06680	6	203249	18132588	7996	-0.029	0.02685	0.780629149432025	2
N06680	6	18135178	18975547	369	-0.5479	-0.77365	1.04077826262372	1
N06680	6	18976445	25457857	2614	-1.4413	-1.5069	0.999577799601994	1
N06680	6	25468825	40369397	5024	-0.1802	0.02685	0.831180515321905	2
N06680	6	40370499	46718990	1995	-0.7824	-0.77365	1.11885431647773	1
N06680	6	46723267	105444058	16050	-1.4951	-1.5069	0.827065029031902	1
N06680	6	105448484	111843548	1956	-1.207	-1.2004	1.06177105049558	1
N06680	6	111845111	125459506	4002	0.0409	0.02685	0.76479648515402	2
N06680	6	125462208	150729217	8030	-1.5432	-1.5069	0.829129865806467	1
N06680	6	150730783	151559852	365	-0.8556	-0.77365	1.21410011790917	1
N06680	6	151564453	151581446	14	-2.1158	-2.2548	0.691016687613371	1
N06680	6	151583994	158605689	2530	-0.2119	0.02685	1.00113148202893	2
N06680	6	158610911	161241889	965	-1.2093	-1.2004	1.06471873432431	1
N06680	6	161244359	170918031	4099	-1.4978	-1.5069	0.858958047557421	1
N06680	7	43259	159119220	46895	0.0314	0.02685	0.764462375836863	2
N06680	8	161222	46936840	18682	-1.5069	-1.5069	0.826018780106355	1
N06680	8	46940022	124723379	21787	1.0795	1.0648	0.80114610839304	4
N06680	8	124723631	129798114	2069	0.8186	0.8603	0.772417283068097	4
N06680	8	129798970	146293414	6028	1.0648	1.0648	0.810010181966062	4
N06680	9	37747	141071475	41387	0.0253	0.02685	0.778910361018128	2
N06680	10	104427	12338626	6011	-1.5445	-1.5069	0.899915125843517	1
N06680	10	12345440	16383931	2005	0.0454	0.02685	0.791349199479611	2
N06680	10	16385507	27256136	4051	-1.5777	-1.5069	0.799140631005656	1
N06680	10	27256462	31962571	1956	-1.1546	-1.2004	1.01148982086938	1
N06680	10	31966507	36325138	1428	0.1948	0.02685	0.849516613993219	2
N06680	10	36325494	36748364	189	0.8813	0.8603	1.12966670705664	4
N06680	10	36750431	38349065	402	0.2969	0.02685	0.922866480396078	2
N06680	10	38350398	73281738	10012	0.8673	0.8603	0.77562039263049	4
N06680	10	73285363	73960018	292	-0.6344	-0.77365	1.38466278857396	1
N06680	10	73960567	83677849	2964	-1.4458	-1.5069	0.996049679236237	1
N06680	10	83684106	135434551	18787	0.0134	0.02685	0.792198042518859	2
N06680	11	198510	23628652	9241	0.0067	0.02685	0.801411285413759	2
N06680	11	23628717	26041780	853	-0.9703	-0.77365	1.04321545610298	1
N06680	11	26041845	43983744	6104	-1.5691	-1.5069	0.82759789881432	1
N06680	11	43983973	56670113	1997	-1.2568	-1.2004	1.01752202260077	1
N06680	11	56670810	57500134	228	-0.7273	-0.77365	1.22538404571173	1
N06680	11	57501182	74359066	3789	-0.015	0.02685	0.777685676202779	2
N06680	11	74364566	80399615	2021	-1.151	-1.2004	1.01824002360316	1
N06680	11	80401094	109673821	10104	-1.5098	-1.5069	0.79894698839925	1
N06680	11	109680152	109997854	97	-0.7649	-0.77365	1.37009724665581	1
N06680	11	110002061	134944770	9991	0.0349	0.02685	0.769491266609817	2
N06680	12	161382	4789554	1734	0.2443	0.02685	0.947058236605469	2
N06680	12	4790913	11732725	2308	-0.1964	0.02685	0.887530153536872	2
N06680	12	11733185	12820134	421	-0.8512	-0.77365	1.10744064407852	1
N06680	12	12823421	12942890	46	-5.4093	-4.5624	2.81116207558866	1
N06680	12	12953759	17364274	1554	-0.9068	-0.77365	1.06883757440682	1
N06680	12	17373739	130003523	35102	0.0119	0.02685	0.771884020508582	2
N06680	12	130010774	133777645	1287	0.0129	0.02685	0.823954330460263	2
N06680	13	19045720	42120845	9156	-1.5466	-1.5069	0.862386642729563	1
N06680	13	42124117	50044585	2865	-0.1095	0.02685	0.844881557794622	2
N06680	13	50048580	72026597	6074	-1.4295	-1.5069	0.826095914843382	1
N06680	13	72030745	72944939	334	-0.8937	-0.77365	1.16088499237102	1
N06680	13	72953897	73243720	138	-0.7561	-0.77365	1.04791483495856	1
N06680	13	73243839	76804369	1468	-0.1743	0.02685	0.830614459429194	2
N06680	13	76813268	95908711	6100	-1.4231	-1.5069	0.762663068798511	1
N06680	13	95910299	96254994	147	-0.6808	-0.77365	1.11252010889991	1
N06680	13	96258386	101608373	1767	-0.0471	0.02685	0.798353474930635	2
N06680	13	101614644	105737071	2005	-1.2825	-1.2004	0.962886100847672	1
N06680	13	105737189	115106996	4006	-1.542	-1.5069	0.811232197182618	1
N06680	14	20211644	25627046	2052	-1.6689	-1.5069	0.905072109647585	1
N06680	14	25627750	32833440	1996	-1.3399	-1.2004	0.788373623968295	1
N06680	14	32833489	37886710	1956	-0.8521	-0.77365	1.04399007405121	1
N06680	14	37893640	45269838	2006	0.0438	0.02685	0.764274558122158	2
N06680	14	45275411	47974587	628	-0.3447	0.02685	1.01512467453591	2
N06680	14	47975586	107285437	19395	-1.5846	-1.5069	0.863378451802124	1
N06680	15	20071673	102400037	26014	0.0154	0.02685	0.786317373922665	2
N06680	16	86671	34410569	10603	0.0284	0.02685	0.80908723764137	2
N06680	16	34410955	50827518	1054	-2.2548	-2.2548	1.06286014393041	1
N06680	16	50827601	50895174	33	-3.6101	-4.5624	2.01472037114365	1
N06680	16	50896231	53586185	1043	-2.3078	-2.2548	0.999153150629196	1
N06680	16	53588064	78875927	8449	-1.4456	-1.5069	0.847116194773252	1
N06680	16	78877301	81977318	2145	-1.1938	-1.2004	0.858860011918877	1
N06680	16	81981648	90163275	4240	-1.4139	-1.5069	0.820662251989971	1
N06680	17	6689	13212973	4126	-1.5025	-1.5069	0.856411559410551	1
N06680	17	13213617	21910379	2048	-0.4668	-0.77365	1.16302393322903	1
N06680	17	21912072	22235650	32	1.2179	1.50762898079163	1.36911246402997	6
N06680	17	25311244	27385810	338	-1.5395	-1.5069	1.03449933158825	1
N06680	17	27397974	27456255	10	1.3737	1.34343893107457	0.937447764878004	5
N06680	17	27471777	30634363	446	-1.4894	-1.5069	1.16165999042453	1
N06680	17	30659006	30785585	10	2.3067	2.30482895827949	0.779864815170483	10
N06680	17	30791214	31238051	106	-1.5827	-1.5069	1.07701096152242	1
N06680	17	31239329	33189292	1117	1.5099	1.64937447783721	1.22956096196183	6
N06680	17	33189401	33885736	176	0.4509	0.02685	1.4568711073497	2
N06680	17	33891386	39079744	1046	-0.4402	-0.3552	1.46757302556244	2
N06680	17	39081892	39993748	320	-4.5725	-4.5624	2.0215983229631	1
N06680	17	39998141	40085665	19	-0.4752	-0.77365	1.4853670197887	1
N06680	17	40088108	40199535	18	-4.5523	-4.5624	2.51121401460798	1
N06680	17	40214606	43289122	521	-0.2702	-0.3552	1.07026213031795	2
N06680	17	43312800	44216322	231	0.526	0.02685	1.07254182214864	2
N06680	17	44219555	44352872	36	2.0677	2.20111278101808	1.11608226657507	9
N06680	17	44353885	51498601	1746	0.2267	0.02685	0.960922604395023	2
N06680	17	51501518	53177527	462	1.2424	1.26695	1.06620620527311	5
N06680	17	53187496	53247610	24	-1.8661	-1.5069	1.08995610755792	1
N06680	17	53255472	53286834	16	0.8603	0.8603	1.08587905970004	4
N06680	17	53287640	54559297	578	-1.3591	-1.5069	1.06069074271782	1
N06680	17	54563341	58538865	968	1.2915	1.26695	0.941431687198716	5
N06680	17	58557025	81049726	6185	-1.5895	-1.5069	0.864841592273824	1
N06680	18	11543	78015057	26505	0.0522	0.02685	0.764367238595091	2
N06680	19	260912	59095126	11860	0.0362	0.02685	0.814678888957007	2
N06680	20	61795	14823472	6282	-1.5226	-1.5069	0.842469743806629	1
N06680	20	14830476	17473671	1491	0.8281	0.8603	0.929924411109329	4
N06680	20	17474749	18810705	535	-1.3955	-1.5069	1.18616010413639	1
N06680	20	18812374	23720422	2075	-0.5148	-0.77365	1.1620226587425	1
N06680	20	23725528	62912463	12437	0.0029	0.02685	0.79055351345959	2
N06680	21	10913441	48084820	12527	0.0587	0.02685	0.787679721469985	2
N06680	22	16055171	51219006	11424	0.0385	0.02685	0.816774569210261	2
N06680	23	152439	2894912	413	-1.0196	-1.2004	1.12830085918365	1
N06680	23	2894965	154925045	36345	-1.4392	-1.5069	0.833807127146004	1
N06680	24	2722506	28758193	347	-1.7749	-1.5069	0.837464737559646	1
