ID	chrom	loc.start	loc.end	num.mark	seg.mean	seg.med	probes.Sd	estimCopy
N03972	1	564621	82414696	24406	-0.0641	-0.00365	0.941476869831501	2
N03972	1	82414893	88261805	2035	-0.2861	-0.2227	0.917871776733405	2
N03972	1	88269313	95201044	2092	-0.7591	-0.6564	0.915119985043136	1
N03972	1	95201507	101937416	1992	-0.4793	-0.6564	0.904629689381798	1
N03972	1	101937782	109349019	2035	-1.3757	-1.4377	1.2154292621694	1
N03972	1	109349307	115610039	2085	-2.1281	-1.90455	0.979869020050677	1
N03972	1	115610091	119491764	1413	-1.8197	-1.90455	1.24137503450664	1
N03972	1	119492931	146709877	581	-0.7002	-0.6564	1.2379845576351	1
N03972	1	146710162	199487030	16264	-0.0057	-0.00365	0.876231760128075	2
N03972	1	199494186	204971485	2084	-0.2521	-0.2227	0.982058442918896	2
N03972	1	204972584	249198692	16237	-0.0016	-0.00365	0.914604482960619	2
N03972	2	15703	243048760	73818	0.0261	-0.00365	0.910118517291454	2
N03972	3	69244	3528343	1966	0.245	0.24955	0.82849543082196	2
N03972	3	3528827	77300562	26349	0.0332	-0.00365	0.906514214317502	2
N03972	3	77305891	86306259	1976	0.2666	0.24955	0.847640955131304	2
N03972	3	86312396	197856433	30288	-0.009	-0.00365	0.924916559443498	2
N03972	4	45410	128100436	37327	0.0576	-0.00365	0.884004425117711	2
N03972	4	128114533	135137508	1618	0.2541	0.24955	0.839708111434645	2
N03972	4	135138220	190921709	16963	0.0394	-0.00365	0.887799027043596	2
N03972	5	36344	180692833	56335	0.0236	-0.00365	0.912104263489812	2
N03972	6	203249	78041546	25999	-0.039	-0.00365	0.91690128322064	2
N03972	6	78050791	84802783	2000	-0.2974	-0.2227	0.980210544339345	2
N03972	6	84802880	91488935	2049	-0.9228	-0.9228	0.941388867089544	1
N03972	6	91491264	98073606	1952	-0.6276	-0.6564	0.918367591917239	1
N03972	6	98090084	118894468	6049	-0.8842	-0.9228	0.93017041884512	1
N03972	6	118894793	125571038	2000	-0.3954	-0.6564	0.983773766722679	1
N03972	6	125571286	170918031	15960	0.007	-0.00365	0.901311286304025	2
N03972	7	43259	159119220	46895	0.0302	-0.00365	0.901543739789798	2
N03972	8	161222	5847141	4048	0.0255	-0.00365	0.892231329954403	2
N03972	8	5847514	25741329	9355	-0.2124	-0.2227	0.925307850664296	2
N03972	8	25742049	33300773	2849	-0.4258	-0.6564	0.940517411243939	1
N03972	8	33301621	41262625	2013	-0.2036	-0.2227	0.858761172363225	2
N03972	8	41262874	146293414	30301	0.024	-0.00365	0.910690612558529	2
N03972	9	37747	3034146	2048	0.0782	0.115262868237809	0.862576085388104	2
N03972	9	3034259	7379273	2137	-0.2062	-0.2227	0.96130194327051	2
N03972	9	7379571	15962335	4092	0.178	0.24955	0.854689567341554	2
N03972	9	15966278	30995025	6207	-1.919	-1.90455	0.963834433444192	1
N03972	9	30995741	37654930	2062	-2.1696	-1.90455	1.00273856651194	1
N03972	9	37656212	37788884	60	-1.4997	-1.4377	1.50804930481255	1
N03972	9	37789033	39184065	401	-0.7946	-0.6564	1.36814063181643	1
N03972	9	39213995	104940829	11984	-0.0137	-0.00365	0.940695694357148	2
N03972	9	104940961	104965221	19	-2.9361	-3.2066	2.59331643958385	1
N03972	9	104965863	141071475	12377	-0.0647	-0.00365	0.967568107185326	2
N03972	10	104427	135434551	48097	-0.0072	-0.00365	0.901380821026949	2
N03972	11	198510	134944770	44425	0.0211	-0.00365	0.906959456624488	2
N03972	12	161382	133777645	42452	-0.0271	-0.00365	0.912205350573121	2
N03972	13	19045720	33881562	6054	-0.7362	-0.6564	0.946941723214994	1
N03972	13	33881938	39711266	2245	-0.4962	-0.6564	0.892348650191845	1
N03972	13	39712010	50144995	3765	-0.7299	-0.6564	0.928328073749172	1
N03972	13	50151926	63819394	3590	-0.4733	-0.6564	0.951788339212849	1
