ID	chrom	loc.start	loc.end	num.mark	seg.mean	seg.med	probes.Sd	estimCopy
N10547B	1	564621	146693429	36627	-0.0366	-0.0258	0.812373955058325	2
N10547B	1	146694421	249198692	34597	0.9836	0.9156	0.80758689731369	4
N10547B	2	15703	243048760	73818	-0.0258	-0.0258	0.804307153193354	2
N10547B	3	69244	190294208	58561	0.8815	0.9156	0.802308789618462	4
N10547B	3	190294290	197856433	2018	0.5856	0.598124889593365	0.836343403474908	3
N10547B	4	45410	190921709	55908	-0.0106	-0.0258	0.793704723644902	2
N10547B	5	36344	180692833	56335	1.6223	1.63483642053741	0.817278217810512	6
N10547B	6	203249	98110654	32005	0.8908	0.9156	0.805739119636291	4
N10547B	6	98111649	170918031	24004	-0.0233	-0.0258	0.82973991962758	2
N10547B	7	43259	49381235	18351	1.5806	1.58670116780064	0.792829019399413	6
N10547B	7	49385734	159119220	28544	0.9615	0.9156	0.793854642376202	4
N10547B	8	161222	33142473	16199	-0.7717	-0.758078430716904	0.847757707652488	1
N10547B	8	33143209	146293414	32367	-0.0293	-0.0258	0.798096183473618	2
N10547B	9	37747	141071475	41387	0.9149	0.9156	0.810769499094299	4
N10547B	10	104427	135434551	48097	0.0494	-0.0258	0.800147318098053	2
N10547B	11	198510	134944770	44425	-0.0301	-0.0258	0.804469961424637	2
N10547B	12	161382	133777645	42452	-0.0793	-0.0258	0.791257417587586	2
N10547B	13	19045720	20910558	440	-1.6048	-1.44745	0.908410773928762	1
N10547B	13	20917390	20942121	27	-2.8734	-2.80098421302707	1.46921035102108	1
N10547B	13	20942224	115106996	33593	-1.444	-1.44745	0.863675470925464	1
N10547B	14	20211644	107285437	28033	-0.0396	-0.0258	0.812803603402875	2
N10547B	15	20071673	102400037	26014	0.9163	0.9156	0.817941430529054	4
N10547B	16	86671	90163275	27567	-0.0217	-0.0258	0.81488016597904	2
N10547B	17	6689	81049726	20579	-0.0464	-0.0258	0.809243905818925	2
N10547B	18	11543	78015057	26505	0.006	-0.0258	0.804010085321512	2
N10547B	19	260912	59095126	11860	0.9122	0.9156	0.867837886448327	4
N10547B	20	61795	62912463	22820	-0.0235	-0.0258	0.810818278802779	2
N10547B	21	10913441	48084820	12527	0.9634	0.9156	0.823931943045961	4
N10547B	22	16055171	51219006	11424	-1.4509	-1.44745	0.95335402985475	1
N10547B	23	152439	117351703	26561	-1.3304	-1.44745	0.880123083140947	1
N10547B	23	117351849	154925045	10197	-0.5153	-0.502838355577233	0.822307943499319	1
N10547B	24	2722506	6608568	115	-4.1869	-5.62465	2.3358936399048	1
N10547B	24	6615362	28758193	232	-7.0624	-5.62465	2.50809531840751	1
