ID	chrom	loc.start	loc.end	num.mark	seg.mean	seg.med	probes.Sd	estimCopy
T02031	1	888659	72915804	15619	-0.0243	-0.0014	0.779492808917107	2
T02031	1	72916451	76530627	881	-0.6576	-0.7339	0.894341212176327	1
T02031	1	76530916	91136463	4142	-1.0796	-1.05566997078119	0.780415515968301	1
T02031	1	91137786	144033939	7574	-1.2904	-1.5139	0.856397368339391	1
T02031	1	144034888	145104261	20	-0.0209	-0.0014	1.50710243916538	2
T02031	1	145177475	151382476	569	0.6092	0.872660038855952	1.10356774304983	4
T02031	1	151385057	249198692	26948	1.0861	1.10285385226936	0.793496311572274	4
T02031	2	15703	242775910	61869	-9e-04	-0.0014	0.786017262241818	2
T02031	3	62614	197851260	51885	0.0191	-0.0014	0.786141128824946	2
T02031	4	68911	8580875	2105	-0.1712	-0.1419	0.923505172535407	2
T02031	4	8585989	190921709	47095	0.0206	-0.0014	0.7637661361189	2
T02031	5	113577	180692321	46160	-0.0019	-0.0014	0.782366151506297	2
T02031	6	184719	67006994	19898	-0.0097	-0.0014	0.766084735285509	2
T02031	6	67009023	67048629	16	-10.1193	-8.16985	4.01168100852645	1
T02031	6	67051234	77435783	3209	-0.0183	-0.0014	0.771659515102209	2
T02031	6	77436850	77452270	6	-6.2204	-8.16985	2.0965645584534	0
T02031	6	77472335	110741585	9978	0.0478	-0.0014	0.781720151679016	2
T02031	6	110741865	118216215	2068	-0.7339	-0.7339	1.07085918181144	1
T02031	6	118217093	170908114	16557	-1.4727	-1.5139	0.798782193394636	1
T02031	7	44167	8532733	2101	-1.5899	-1.5139	0.853803028726022	1
T02031	7	8532877	13199758	2081	-0.6753	-0.7339	1.16373012872638	1
T02031	7	13202271	159119220	41817	-0.0016	-0.0014	0.769688926511094	2
T02031	8	168484	146292734	38677	0.008	-0.0014	0.801350772491817	2
T02031	9	208549	141011581	30528	0.0096	-0.0014	0.805412684921452	2
T02031	10	104427	32275623	10018	-1.5132	-1.5139	0.848112298761174	1
T02031	10	32287697	33677323	345	-0.8527	-0.7339	0.938390695240055	1
T02031	10	33677921	135426536	24870	0.028	-0.0014	0.791820938678882	2
T02031	11	230751	24677973	8099	-0.0014	-0.0014	0.788574068233946	2
T02031	11	24689151	29033182	1453	0.1588	0.173875935008023	0.761225726257352	2
T02031	11	29033952	134938470	28672	-0.0166	-0.0014	0.78309688126032	2
T02031	12	180185	133777562	33063	-0.0406	-0.0014	0.789771755514627	2
T02031	13	19450806	58047701	10691	-1.5146	-1.5139	0.803135573257232	1
T02031	13	58047925	73816706	4203	-1.3612	-1.5139	0.763415210561922	1
T02031	13	73817269	81137267	2209	-1.5663	-1.5139	0.782804981862243	1
T02031	13	81137356	88855305	1913	-1.3665	-1.5139	0.810929510065542	1
T02031	13	88869154	115095705	8664	-1.5299	-1.5139	0.815977434432327	1
T02031	14	20511673	107285437	26698	-1.5776	-1.5139	0.808166608298294	1
T02031	15	22809980	102429049	24826	-0.0252	-0.0014	0.754733700307157	2
T02031	16	89561	90146366	20654	-0.0042	-0.0014	0.79252092104443	2
T02031	17	18901	81041938	17262	-0.0262	-0.0014	0.777868229739853	2
T02031	18	136305	78010194	20574	0.0172	-0.0014	0.788762614899629	2
T02031	19	260912	58956888	10268	0.0075	-0.0014	0.781160114945717	2
T02031	20	61795	62912463	16018	-4e-04	-0.0014	0.787545518497733	2
T02031	21	15129378	48084820	10341	0.0304	-0.0014	0.793989168335206	2
T02031	22	16888900	44619700	6742	-0.1126	-0.1419	0.803735368253237	2
T02031	22	44619786	51177928	1843	0.0488	-0.0014	0.813726278930509	2
T02031	23	169805	2713139	702	-0.1812	-0.0014	1.33025536237422	2
T02031	23	2716346	116910900	15394	-2.6923	-2.67628762567587	0.968001687896055	1
T02031	23	116920476	130388406	1964	-1.9878	-1.97226425547397	1.29937370542623	1
T02031	23	130397166	155233098	4013	-0.7789	-0.7339	0.887969230043831	1
